"Time","X4th.Ventricle"
-19.11,2360.25947434857
-19.1,2360.2652171306
-19.09,2360.27098002054
-19.08,2360.27676381219
-19.07,2360.28254760384
-19.06,2360.28833139549
-19.05,2360.29411518713
-19.04,2360.29989897878
-19.03,2360.30568277043
-19.02,2360.31146656208
-19.01,2360.31725035373
-19,2360.32303414537
-18.99,2360.32885523693
-18.98,2360.33468026546
-18.97,2360.34050529399
-18.96,2360.34633032253
-18.95,2360.35215535106
-18.94,2360.3579803796
-18.93,2360.36380540813
-18.92,2360.36963043666
-18.91,2360.3754554652
-18.9,2360.38129370996
-18.89,2360.38716020332
-18.88,2360.39302669669
-18.87,2360.39889319006
-18.86,2360.40475968342
-18.85,2360.41062617679
-18.84,2360.41649267016
-18.83,2360.42235916352
-18.82,2360.42822565689
-18.81,2360.43409215026
-18.8,2360.43998920239
-18.79,2360.44589738923
-18.78,2360.45180557606
-18.77,2360.4577137629
-18.76,2360.46362194973
-18.75,2360.46953013656
-18.74,2360.4754383234
-18.73,2360.48134651023
-18.72,2360.48725469707
-18.71,2360.49316905261
-18.7,2360.49911916223
-18.69,2360.50506927185
-18.68,2360.51101938147
-18.67,2360.51696949108
-18.66,2360.5229196007
-18.65,2360.52886971032
-18.64,2360.53481981993
-18.63,2360.54076992955
-18.62,2360.54672003917
-18.61,2360.55269381126
-18.6,2360.55868607366
-18.59,2360.56467833605
-18.58,2360.57067059845
-18.57,2360.57666286084
-18.56,2360.58265512324
-18.55,2360.58864738564
-18.54,2360.59463964803
-18.53,2360.60063191043
-18.52,2360.60662417282
-18.51,2360.61265778265
-18.5,2360.61869242849
-18.49,2360.62472707434
-18.48,2360.63076172019
-18.47,2360.63679636604
-18.46,2360.64283101188
-18.45,2360.64886565773
-18.44,2360.65490030358
-18.43,2360.66093494942
-18.42,2360.66698620488
-18.41,2360.67306346553
-18.4,2360.67914072617
-18.39,2360.68521798682
-18.38,2360.69129524746
-18.37,2360.69737250811
-18.36,2360.70344976875
-18.35,2360.70952702939
-18.34,2360.71560429004
-18.33,2360.72168155068
-18.32,2360.72779325876
-18.31,2360.73391336622
-18.3,2360.74003347368
-18.29,2360.74615358114
-18.28,2360.7522736886
-18.27,2360.75839379605
-18.26,2360.76451390351
-18.25,2360.77063401097
-18.24,2360.77675411843
-18.23,2360.78288362467
-18.22,2360.78904681162
-18.21,2360.79520999858
-18.2,2360.80137318554
-18.19,2360.80753637249
-18.18,2360.81369955945
-18.17,2360.81986274641
-18.16,2360.82602593336
-18.15,2360.83218912032
-18.14,2360.83835230727
-18.13,2360.84454288435
-18.12,2360.85074938415
-18.11,2360.85695588395
-18.1,2360.86316238376
-18.09,2360.86936888356
-18.08,2360.87557538336
-18.07,2360.88178188316
-18.06,2360.88798838297
-18.05,2360.89419488277
-18.04,2360.90040341117
-18.03,2360.90665345783
-18.02,2360.91290350449
-18.01,2360.91915355115
-18,2360.9254035978
-17.99,2360.93165364446
-17.98,2360.93790369112
-17.97,2360.94415373778
-17.96,2360.95040378444
