"Time","Left.Thalamus.Proper"
1.06,6288.05129930163
1.07,6287.99436163477
1.08,6287.93742396791
1.09,6287.88048630105
1.1,6287.82354863419
1.11,6287.76661096733
1.12,6287.70967330047
1.13,6287.65273563361
1.14,6287.5958961623
1.15,6287.53906911159
1.16,6287.48224206087
1.17,6287.42541501015
1.18,6287.36858795943
1.19,6287.31176090871
1.2,6287.25493385799
1.21,6287.19810680727
1.22,6287.14127975655
1.23,6287.08448627164
1.24,6287.02777039535
1.25,6286.97105451905
1.26,6286.91433864276
1.27,6286.85762276647
1.28,6286.80090689017
1.29,6286.74419101388
1.3,6286.68747513759
1.31,6286.63075926129
1.32,6286.574043385
1.33,6286.51740752044
1.34,6286.46080337273
1.35,6286.40419922502
1.36,6286.34759507732
1.37,6286.29099092961
1.38,6286.23438678191
1.39,6286.1777826342
1.4,6286.1211784865
1.41,6286.06457433879
1.42,6286.00798482453
1.43,6285.95149295544
1.44,6285.89500108635
1.45,6285.83850921726
1.46,6285.78201734817
1.47,6285.72552547909
1.48,6285.66903361
1.49,6285.61254174091
1.5,6285.55604987182
1.51,6285.49955800273
1.52,6285.44312757077
1.53,6285.38674852618
1.54,6285.33036948158
1.55,6285.27399043699
1.56,6285.2176113924
1.57,6285.1612323478
1.58,6285.10485330321
1.59,6285.04847425862
1.6,6284.99209521402
1.61,6284.93571616943
1.62,6284.87944581388
1.63,6284.8231801355
1.64,6284.76691445711
1.65,6284.71064877873
1.66,6284.65438310035
1.67,6284.59811742197
1.68,6284.54185174359
1.69,6284.4855860652
1.7,6284.42932038682
1.71,6284.37309718867
1.72,6284.31694541404
1.73,6284.2607936394
1.74,6284.20464186477
1.75,6284.14849009014
1.76,6284.09233831551
1.77,6284.03618654087
1.78,6283.98003476624
1.79,6283.92388299161
1.8,6283.86773121698
1.81,6283.81166952198
1.82,6283.75563218445
1.83,6283.69959484691
1.84,6283.64355750938
1.85,6283.58752017184
1.86,6283.53148283431
1.87,6283.47544549677
1.88,6283.41940815924
1.89,6283.36337082171
1.9,6283.30735663375
1.91,6283.25143426246
1.92,6283.19551189116
1.93,6283.13958951987
1.94,6283.08366714858
1.95,6283.02774477729
1.96,6282.971822406
1.97,6282.9159000347
