"Time","P_D1D2"
-40.86,-254579.972565824
-40.85,-254490.55025856
-40.84,-254401.127951296
-40.83,-254311.705644031
-40.82,-254222.022328065
-40.81,-254132.308591186
-40.8,-254042.594854307
-40.79,-253952.881117428
-40.78,-253863.167380549
-40.77,-253773.45364367
-40.76,-253683.739906791
-40.75,-253594.026169912
-40.74,-253504.312433033
-40.73,-253414.598696154
-40.72,-253324.884959275
-40.71,-253234.950542733
-40.7,-253144.944983945
-40.69,-253054.939425156
-40.68,-252964.933866367
-40.67,-252874.928307579
-40.66,-252784.92274879
-40.65,-252694.917190001
-40.64,-252604.911631213
-40.63,-252514.906072424
-40.62,-252424.900513635
-40.61,-252334.894954847
-40.6,-252244.709156253
-40.59,-252154.411385605
-40.58,-252064.113614956
-40.57,-251973.815844307
-40.56,-251883.518073659
-40.55,-251793.22030301
-40.54,-251702.922532361
-40.53,-251612.624761713
-40.52,-251522.326991064
-40.51,-251432.029220415
-40.5,-251341.731449767
-40.49,-251251.293989017
-40.48,-251160.703618918
-40.47,-251070.113248818
-40.46,-250979.522878719
-40.45,-250888.93250862
-40.44,-250798.34213852
-40.43,-250707.751768421
-40.42,-250617.161398322
-40.41,-250526.571028222
-40.4,-250435.980658123
-40.39,-250345.390288024
-40.38,-250254.700886391
-40.37,-250163.817531625
-40.36,-250072.934176859
-40.35,-249982.050822093
-40.34,-249891.167467327
-40.33,-249800.284112561
-40.32,-249709.400757795
-40.31,-249618.517403029
-40.3,-249527.634048263
-40.29,-249436.750693496
-40.28,-249345.86733873
-40.27,-249254.925718873
-40.26,-249163.748996613
-40.25,-249072.572274354
-40.24,-248981.395552094
-40.23,-248890.218829835
-40.22,-248799.042107575
-40.21,-248707.865385316
-40.2,-248616.688663056
-40.19,-248525.511940796
-40.18,-248434.335218537
-40.17,-248343.158496277
-40.16,-248251.964382244
-40.15,-248160.493912068
-40.14,-248069.023441893
-40.13,-247977.552971717
-40.12,-247886.082501542
-40.11,-247794.612031366
-40.1,-247703.141561191
-40.09,-247611.671091015
-40.08,-247520.20062084
-40.07,-247428.730150664
-40.06,-247337.259680489
-40.05,-247245.789210313
-40.04,-247154.048201631
-40.03,-247062.283605536
-40.02,-246970.519009441
-40.01,-246878.754413346
-40,-246786.989817251
-39.99,-246695.225221157
-39.98,-246603.460625062
-39.97,-246511.696028967
-39.96,-246419.931432872
-39.95,-246328.166836777
-39.94,-246236.402240683
-39.93,-246144.407814551
-39.92,-246052.348716968
-39.91,-245960.289619384
-39.9,-245868.230521801
-39.89,-245776.171424217
-39.88,-245684.112326633
-39.87,-245592.05322905
-39.86,-245499.994131466
-39.85,-245407.935033883
-39.84,-245315.875936299
-39.83,-245223.816838715
-39.82,-245131.568725846
-39.81,-245039.214753652
-39.8,-244946.860781459
-39.79,-244854.506809266
-39.78,-244762.152837073
-39.77,-244669.79886488
-39.76,-244577.444892687
-39.75,-244485.090920494
-39.74,-244392.7369483
-39.73,-244300.382976107
-39.72,-244208.029003914
-39.71,-244115.526936448
-39.7,-244022.877718988
-39.69,-243930.228501528
-39.68,-243837.579284068
-39.67,-243744.930066608
-39.66,-243652.280849148
-39.65,-243559.631631688
-39.64,-243466.982414228
-39.63,-243374.333196768
-39.62,-243281.683979308
-39.61,-243189.034761848
-39.6,-243096.278473366
-39.59,-243003.33364246
-39.58,-242910.388811554
-39.57,-242817.443980649
-39.56,-242724.499149743
-39.55,-242631.554318837
-39.54,-242538.609487932
-39.53,-242445.664657026
-39.52,-242352.71982612
-39.51,-242259.774995214
-39.5,-242166.830164309
-39.49,-242073.819389836
-39.48,-241980.578579799
-39.47,-241887.337769761
-39.46,-241794.096959724
-39.45,-241700.856149686
-39.44,-241607.615339649
-39.43,-241514.374529612
-39.42,-241421.133719574
-39.41,-241327.892909537
-39.4,-241234.652099499
-39.39,-241141.411289462
-39.38,-241048.145765477
-39.37,-240954.60861313
-39.36,-240861.071460782
-39.35,-240767.534308435
-39.34,-240673.997156088
-39.33,-240580.460003741
-39.32,-240486.922851394
-39.31,-240393.385699046
-39.3,-240299.848546699
-39.29,-240206.311394352
-39.28,-240112.774242005
-39.27,-240019.237089658
-39.26,-239925.41985113
-39.25,-239831.585995818
-39.24,-239737.752140505
-39.23,-239643.918285193
-39.22,-239550.08442988
-39.21,-239456.250574567
-39.2,-239362.416719255
-39.19,-239268.582863942
-39.18,-239174.74900863
-39.17,-239080.915153317
-39.16,-238987.081298005
-39.15,-238893.008429182
-39.14,-238798.877512786
-39.13,-238704.74659639
-39.12,-238610.615679994
-39.11,-238516.484763598
-39.1,-238422.353847201
-39.09,-238328.222930805
-39.08,-238234.092014409
-39.07,-238139.961098013
-39.06,-238045.830181617
-39.05,-237951.699265221
-39.04,-237857.370509527
-39.03,-237762.942176481
-39.02,-237668.513843435
-39.01,-237574.085510388
-39,-237479.657177342
-38.99,-237385.228844296
-38.98,-237290.80051125
-38.97,-237196.372178204
-38.96,-237101.943845158
-38.95,-237007.515512112
-38.94,-236913.087179065
-38.93,-236818.502281417
-38.92,-236723.776178721
-38.91,-236629.050076025
-38.9,-236534.323973329
-38.89,-236439.597870633
-38.88,-236344.871767938
-38.87,-236250.145665242
-38.86,-236155.419562546
-38.85,-236060.69345985
-38.84,-235965.967357155
-38.83,-235871.241254459
-38.82,-235776.39996127
-38.81,-235681.375738506
-38.8,-235586.351515742
-38.79,-235491.327292979
-38.78,-235396.303070215
-38.77,-235301.278847451
-38.76,-235206.254624687
-38.75,-235111.230401924
-38.74,-235016.20617916
-38.73,-234921.181956396
-38.72,-234826.157733632
-38.71,-234731.059792824
-38.7,-234635.73710217
-38.69,-234540.414411516
-38.68,-234445.091720862
-38.67,-234349.769030208
-38.66,-234254.446339554
-38.65,-234159.1236489
-38.64,-234063.800958246
-38.63,-233968.478267592
-38.62,-233873.155576938
-38.61,-233777.832886283
-38.6,-233682.478047288
-38.59,-233586.856543532
-38.58,-233491.235039775
-38.57,-233395.613536019
-38.56,-233299.992032263
-38.55,-233204.370528507
-38.54,-233108.749024751
-38.53,-233013.127520995
-38.52,-232917.506017239
-38.51,-232821.884513483
-38.5,-232726.263009727
-38.49,-232630.641505971
-38.48,-232534.73036405
-38.47,-232438.809704605
-38.46,-232342.889045161
-38.45,-232246.968385716
-38.44,-232151.047726271
-38.43,-232055.127066827
-38.42,-231959.206407382
-38.41,-231863.285747938
-38.4,-231767.365088493
-38.39,-231671.444429048
-38.38,-231575.523769604
-38.37,-231479.354892975
