"Time","Right.Hippocampus"
7.2,2779.4791007282
7.21,2779.44219514781
7.22,2779.40528956742
7.23,2779.36838398703
7.24,2779.33147840664
7.25,2779.29457282625
7.26,2779.25766724586
7.27,2779.22078521883
7.28,2779.18393898528
7.29,2779.14709275173
7.3,2779.11024651818
7.31,2779.07340028463
7.32,2779.03655405109
7.33,2778.99970781754
7.34,2778.96286158399
7.35,2778.92601535044
7.36,2778.88916911689
7.37,2778.85237121387
7.38,2778.81558456804
7.39,2778.77879792222
7.4,2778.74201127639
7.41,2778.70522463056
7.42,2778.66843798474
7.43,2778.63165133891
7.44,2778.59486469309
7.45,2778.55807804726
7.46,2778.52130487974
7.47,2778.48457806104
7.48,2778.44785124234
7.49,2778.41112442364
7.5,2778.37439760494
7.51,2778.33767078623
7.52,2778.30094396753
7.53,2778.26421714883
7.54,2778.22749033013
7.55,2778.19076351143
7.56,2778.15407510392
7.57,2778.11740835026
7.58,2778.0807415966
7.59,2778.04407484294
7.6,2778.00740808929
7.61,2777.97074133563
7.62,2777.93407458197
7.63,2777.89740782832
7.64,2777.86074107466
7.65,2777.82407755912
7.66,2777.78747110694
7.67,2777.75086465476
7.68,2777.71425820258
7.69,2777.6776517504
7.7,2777.64104529823
7.71,2777.60443884605
7.72,2777.56783239387
7.73,2777.53122594169
7.74,2777.49461948951
7.75,2777.45804136259
7.76,2777.42149544684
7.77,2777.38494953108
7.78,2777.34840361532
7.79,2777.31185769956
7.8,2777.2753117838
7.81,2777.23876586804
7.82,2777.20221995228
7.83,2777.16567403653
7.84,2777.12912812077
7.85,2777.09263581073
7.86,2777.05615066484
7.87,2777.01966551895
7.88,2776.98318037306
7.89,2776.94669522717
7.9,2776.91021008128
7.91,2776.87372493539
7.92,2776.8372397895
7.93,2776.80075464362
7.94,2776.76428757353
7.95,2776.72786342946
7.96,2776.69143928539
7.97,2776.65501514132
7.98,2776.61859099725
7.99,2776.58216685318
8,2776.54574270911
8.01,2776.50931856504
8.02,2776.47289442097
8.03,2776.4364702769
8.04,2776.40008963967
8.05,2776.36372672787
8.06,2776.32736381607
8.07,2776.29100090427
8.08,2776.25463799246
8.09,2776.21827508066
8.1,2776.18191216886
8.11,2776.14554925706
8.12,2776.10918634525
8.13,2776.07283109933
8.14,2776.03652964874
8.15,2776.00022819814
8.16,2775.96392674755
8.17,2775.92762529696
8.18,2775.89132384636
8.19,2775.85502239577
8.2,2775.81872094518
8.21,2775.78241949458
8.22,2775.74611804399
8.23,2775.70984983943
8.24,2775.67361007747
8.25,2775.63737031552
8.26,2775.60113055357
8.27,2775.56489079162
8.28,2775.52865102966
8.29,2775.49241126771
8.3,2775.45617150576
8.31,2775.41993174381
8.32,2775.38369198185
8.33,2775.34751123305
8.34,2775.31133338566
8.35,2775.27515553826
8.36,2775.23897769087
8.37,2775.20279984348
8.38,2775.16662199608
8.39,2775.13044414869
8.4,2775.0942663013
8.41,2775.0580884539
8.42,2775.02193343289
8.43,2774.98581772446
8.44,2774.94970201603
8.45,2774.91358630759
8.46,2774.87747059916
8.47,2774.84135489073
8.48,2774.8052391823
8.49,2774.76912347387
8.5,2774.73300776543
8.51,2774.696892057
8.52,2774.66082508745
8.53,2774.62477174086
8.54,2774.58871839427
8.55,2774.55266504768
8.56,2774.51661170109
8.57,2774.4805583545
8.58,2774.44450500791
8.59,2774.40845166132
8.6,2774.37239831473
8.61,2774.33635721914
8.62,2774.30036645574
8.63,2774.26437569235
8.64,2774.22838492896
8.65,2774.19239416557
8.66,2774.15640340218
8.67,2774.12041263878
8.68,2774.08442187539
8.69,2774.048431112
8.7,2774.01244034861
8.71,2773.97648789262
8.72,2773.94055993225
8.73,2773.90463197189
8.74,2773.86870401152
8.75,2773.83277605116
8.76,2773.79684809079
8.77,2773.76092013043
8.78,2773.72499217007
8.79,2773.6890642097
8.8,2773.65313777235
8.81,2773.61727283331
8.82,2773.58140789428
8.83,2773.54554295524
8.84,2773.5096780162
8.85,2773.47381307716
8.86,2773.43794813812
8.87,2773.40208319908
8.88,2773.36621826004
8.89,2773.33035332101
8.9,2773.2945161038
8.91,2773.25871440285
8.92,2773.2229127019
8.93,2773.18711100095
8.94,2773.1513093
8.95,2773.11550759905
8.96,2773.0797058981
8.97,2773.04390419715
8.98,2773.0081024962
8.99,2772.97230079526
9,2772.93655319321
9.01,2772.90081494557
9.02,2772.86507669794
9.03,2772.82933845031
9.04,2772.79360020268
9.05,2772.75786195504
9.06,2772.72212370741
9.07,2772.68638545978
9.08,2772.65064721215
9.09,2772.61492594983
9.1,2772.5792513692
9.11,2772.54357678857
9.12,2772.50790220794
9.13,2772.47222762731
9.14,2772.43655304668
9.15,2772.40087846605
9.16,2772.36520388541
9.17,2772.32952930478
9.18,2772.29385472415
9.19,2772.25822364454
9.2,2772.22261294305
9.21,2772.18700224156
9.22,2772.15139154008
9.23,2772.11578083859
9.24,2772.08017013711
9.25,2772.04455943562
9.26,2772.00894873413
9.27,2771.97333803265
9.28,2771.93773343218
9.29,2771.90218682043
9.3,2771.86664020869
9.31,2771.83109359694
9.32,2771.7955469852
9.33,2771.76000037345
9.34,2771.7244537617
9.35,2771.68890714996
9.36,2771.65336053821
9.37,2771.61781392646
9.38,2771.58230006856
9.39,2771.54681775559
9.4,2771.51133544263
9.41,2771.47585312967
9.42,2771.44037081671
9.43,2771.40488850375
9.44,2771.36940619079
9.45,2771.33392387783
9.46,2771.29844156487
9.47,2771.2629592519
9.48,2771.22753651735
9.49,2771.19211871066
9.5,2771.15670090398
9.51,2771.12128309729
9.52,2771.08586529061
9.53,2771.05044748393
9.54,2771.01502967725
9.55,2770.97961187056
9.56,2770.94419406388
9.57,2770.90879811775
9.58,2770.87344502328
9.59,2770.83809192882
9.6,2770.80273883435
9.61,2770.76738573988
9.62,2770.73203264541
9.63,2770.69667955094
9.64,2770.66132645648
9.65,2770.62597336201
9.66,2770.59062026754
9.67,2770.55531599149
9.68,2770.52002781362
9.69,2770.48473963574
9.7,2770.44945145787
9.71,2770.41416327999
9.72,2770.37887510212
9.73,2770.34358692424
9.74,2770.30829874637
9.75,2770.2730105685
9.76,2770.23773321498
9.77,2770.20251015652
9.78,2770.16728709805
9.79,2770.13206403959
9.8,2770.09684098113
9.81,2770.06161792267
9.82,2770.0263948642
9.83,2769.99117180574
9.84,2769.95594874728
9.85,2769.92072568882
9.86,2769.88554054435
9.87,2769.85038280656
9.88,2769.81522506876
9.89,2769.78006733096
9.9,2769.74490959316
9.91,2769.70975185537
9.92,2769.67459411757
9.93,2769.63943637977
9.94,2769.60427864198
9.95,2769.56912090418
9.96,2769.53402833519
9.97,2769.49893611774
9.98,2769.4638439003
9.99,2769.42875168285
10,2769.39365946541
10.01,2769.35856724796
10.02,2769.32347503052
10.03,2769.28838281307
10.04,2769.25329059563
10.05,2769.21822524653
10.06,2769.18319874756
10.07,2769.14817224859
10.08,2769.11314574961
10.09,2769.07811925064
10.1,2769.04309275167
10.11,2769.00806625269
10.12,2768.97303975372
10.13,2768.93801325475
10.14,2768.90298675577
10.15,2768.86801450788
10.16,2768.83305392392
10.17,2768.79809333997
10.18,2768.76313275601
10.19,2768.72817217205
10.2,2768.6932115881
10.21,2768.65825100414
10.22,2768.62329042019
10.23,2768.58832983623
10.24,2768.55338493697
10.25,2768.518490463
10.26,2768.48359598904
10.27,2768.44870151507
10.28,2768.4138070411
10.29,2768.37891256714
10.3,2768.34401809317
10.31,2768.30912361921
10.32,2768.27422914524
10.33,2768.23933467128
10.34,2768.20448339112
10.35,2768.16965522055
10.36,2768.13482704997
10.37,2768.09999887939
10.38,2768.06517070881
10.39,2768.03034253823
10.4,2767.99551436765
10.41,2767.96068619707
10.42,2767.9258580265
10.43,2767.89103422218
10.44,2767.8562725468
10.45,2767.82151087143
10.46,2767.78674919606
10.47,2767.75198752068
10.48,2767.71722584531
10.49,2767.68246416993
10.5,2767.64770249456
10.51,2767.61294081919
10.52,2767.57817914381
10.53,2767.54344946868
10.54,2767.50875447874
10.55,2767.47405948881
10.56,2767.43936449888
10.57,2767.40466950895
10.58,2767.36997451902
10.59,2767.33527952908
10.6,2767.30058453915
10.61,2767.26588954922
10.62,2767.23119455929
