"Time","Right.Cerebral.White.Matter"
31.26,224534.297527681
31.27,224534.298616098
31.28,224534.299704515
31.29,224534.300792932
31.3,224534.301881349
31.31,224534.302969766
31.32,224534.304058183
31.33,224534.305137821
31.34,224534.30620202
31.35,224534.30726622
31.36,224534.308330419
31.37,224534.309394618
31.38,224534.310458817
31.39,224534.311523016
31.4,224534.312587216
31.41,224534.313651415
31.42,224534.314715614
31.43,224534.315761391
31.44,224534.316801871
31.45,224534.317842352
31.46,224534.318882832
31.47,224534.319923312
31.48,224534.320963793
31.49,224534.322004273
31.5,224534.323044753
31.51,224534.324085234
31.52,224534.32512128
31.53,224534.326138531
31.54,224534.327155782
31.55,224534.328173033
31.56,224534.329190284
31.57,224534.330207535
31.58,224534.331224786
31.59,224534.332242037
31.6,224534.333259288
31.61,224534.334276539
31.62,224534.335280025
31.63,224534.336274527
31.64,224534.337269029
31.65,224534.338263532
31.66,224534.339258034
31.67,224534.340252536
31.68,224534.341247038
31.69,224534.34224154
31.7,224534.343236042
31.71,224534.344230114
31.72,224534.345202339
31.73,224534.346174564
31.74,224534.347146788
31.75,224534.348119013
31.76,224534.349091238
31.77,224534.350063462
31.78,224534.351035687
31.79,224534.352007912
31.8,224534.352980136
31.81,224534.353942904
31.82,224534.354893313
31.83,224534.355843723
31.84,224534.356794133
31.85,224534.357744542
31.86,224534.358694952
31.87,224534.359645361
31.88,224534.360595771
31.89,224534.361546181
31.9,224534.36249659
31.91,224534.363428892
31.92,224534.36435794
31.93,224534.365286988
31.94,224534.366216037
31.95,224534.367145085
31.96,224534.368074134
31.97,224534.369003182
31.98,224534.36993223
31.99,224534.370861279
32,224534.371784849
