"Time","Left.Caudate"
-45.24,3332.1738486407
-45.23,3332.1917179407
-45.22,3332.2095872407
-45.21,3332.2274565407
-45.2,3332.2453258407
-45.19,3332.2631951407
-45.18,3332.2810644407
-45.17,3332.2989337407
-45.16,3332.31686437435
-45.15,3332.33480789359
-45.14,3332.35275141283
-45.13,3332.37069493207
-45.12,3332.38863845131
-45.11,3332.40658197055
-45.1,3332.42452548979
-45.09,3332.44246900904
-45.08,3332.46041252828
-45.07,3332.47837396467
-45.06,3332.49639195548
-45.05,3332.51440994629
-45.04,3332.5324279371
-45.03,3332.55044592791
-45.02,3332.56846391872
-45.01,3332.58648190953
-45,3332.60449990034
-44.99,3332.62251789115
-44.98,3332.64053588197
-44.97,3332.65860280208
-44.96,3332.67669551737
-44.95,3332.69478823267
-44.94,3332.71288094796
-44.93,3332.73097366325
-44.92,3332.74906637855
-44.91,3332.76715909384
-44.9,3332.78525180913
-44.89,3332.80334452443
-44.88,3332.82144241334
-44.87,3332.83961010661
-44.86,3332.85777779988
-44.85,3332.87594549316
-44.84,3332.89411318643
-44.83,3332.9122808797
-44.82,3332.93044857298
-44.81,3332.94861626625
-44.8,3332.96678395952
-44.79,3332.9849516528
-44.78,3333.00315569876
-44.77,3333.0213986241
-44.76,3333.03964154943
-44.75,3333.05788447477
-44.74,3333.0761274001
-44.73,3333.09437032543
-44.72,3333.11261325077
-44.71,3333.1308561761
-44.7,3333.14909910144
-44.69,3333.16734202677
-44.68,3333.18565269488
-44.67,3333.20397110694
-44.66,3333.222289519
-44.65,3333.24060793106
-44.64,3333.25892634312
-44.63,3333.27724475518
-44.62,3333.29556316724
-44.61,3333.3138815793
-44.6,3333.33219999136
-44.59,3333.35054200604
-44.58,3333.36893616007
-44.57,3333.38733031411
-44.56,3333.40572446814
-44.55,3333.42411862218
-44.54,3333.44251277621
-44.53,3333.46090693025
-44.52,3333.47930108428
-44.51,3333.49769523831
-44.5,3333.51608939235
-44.49,3333.53453870745
-44.48,3333.55300885929
-44.47,3333.57147901113
-44.46,3333.58994916297
-44.45,3333.60841931482
-44.44,3333.62688946666
-44.43,3333.6453596185
-44.42,3333.66382977034
-44.41,3333.68229992219
-44.4,3333.70078075191
-44.39,3333.71932715798
-44.38,3333.73787356405
-44.37,3333.75641997012
-44.36,3333.77496637618
-44.35,3333.79351278225
-44.34,3333.81205918832
-44.33,3333.83060559439
-44.32,3333.84915200045
-44.31,3333.86769840652
-44.3,3333.88628721784
-44.29,3333.90491013514
-44.28,3333.92353305243
-44.27,3333.94215596973
-44.26,3333.96077888702
-44.25,3333.97940180432
-44.24,3333.99802472161
-44.23,3334.01664763891
-44.22,3334.0352705562
-44.21,3334.0538934735
-44.2,3334.07259073688
-44.19,3334.09129042299
-44.18,3334.1099901091
-44.17,3334.1286897952
-44.16,3334.14738948131
-44.15,3334.16608916742
-44.14,3334.18478885353
-44.13,3334.20348853963
-44.12,3334.22218822574
-44.11,3334.24091738599
-44.1,3334.25969409908
-44.09,3334.27847081217
-44.08,3334.29724752526
-44.07,3334.31602423835
-44.06,3334.33480095144
-44.05,3334.35357766453
-44.04,3334.37235437762
-44.03,3334.39113109071
-44.02,3334.4099078038
-44.01,3334.42874610223
-44,3334.44760010106
-43.99,3334.46645409989
-43.98,3334.48530809871
-43.97,3334.50416209754
-43.96,3334.52301609636
-43.95,3334.54187009519
-43.94,3334.56072409402
-43.93,3334.57957809284
-43.92,3334.5984484582
-43.91,3334.6173800021
-43.9,3334.636311546
-43.89,3334.65524308991
-43.88,3334.67417463381
-43.87,3334.69310617771
-43.86,3334.71203772161
-43.85,3334.73096926551
-43.84,3334.74990080941
-43.83,3334.76883235332
-43.82,3334.78781254588
-43.81,3334.80682189478
-43.8,3334.82583124367
-43.79,3334.84484059257
-43.78,3334.86384994147
-43.77,3334.88285929037
-43.76,3334.90186863927
-43.75,3334.92087798817
-43.74,3334.93988733707
-43.73,3334.95889976718
-43.72,3334.97798718158
-43.71,3334.99707459599
-43.7,3335.01616201039
-43.69,3335.03524942479
-43.68,3335.0543368392
-43.67,3335.0734242536
-43.66,3335.092511668
-43.65,3335.11159908241
-43.64,3335.13068649681
-43.63,3335.14980944605
-43.62,3335.16897518705
-43.61,3335.18814092805
-43.6,3335.20730666904
-43.59,3335.22647241004
-43.58,3335.24563815104
-43.57,3335.26480389204
-43.56,3335.28396963304
-43.55,3335.30313537403
-43.54,3335.32230111503
-43.53,3335.34153506129
-43.52,3335.36077939056
-43.51,3335.38002371983
-43.5,3335.39926804909
-43.49,3335.41851237836
-43.48,3335.43775670763
-43.47,3335.4570010369
-43.46,3335.47624536616
-43.45,3335.49548969543
-43.44,3335.51475626737
-43.43,3335.53407944717
-43.42,3335.55340262697
-43.41,3335.57272580676
-43.4,3335.59204898656
-43.39,3335.61137216636
-43.38,3335.63069534615
-43.37,3335.65001852595
-43.36,3335.66934170575
-43.35,3335.68866488554
-43.34,3335.70804315136
-43.33,3335.72744544453
-43.32,3335.7468477377
-43.31,3335.76625003087
-43.3,3335.78565232403
-43.29,3335.8050546172
-43.28,3335.82445691037
-43.27,3335.84385920354
-43.26,3335.86326149671
-43.25,3335.88267256084
-43.24,3335.90215423081
-43.23,3335.92163590077
-43.22,3335.94111757074
-43.21,3335.96059924071
-43.2,3335.98008091067
-43.19,3335.99956258064
-43.18,3336.01904425061
-43.17,3336.03852592057
-43.16,3336.05800759054
-43.15,3336.07753104832
-43.14,3336.09709235909
-43.13,3336.11665366987
-43.12,3336.13621498064
-43.11,3336.15577629142
-43.1,3336.17533760219
-43.09,3336.19489891297
-43.08,3336.21446022374
-43.07,3336.23402153452
-43.06,3336.25358284529
-43.05,3336.27321917998
-43.04,3336.29286039616
-43.03,3336.31250161234
-43.02,3336.33214282852
-43.01,3336.3517840447
-43,3336.37142526088
-42.99,3336.39106647705
-42.98,3336.41070769323
-42.97,3336.43034890941
-42.96,3336.45001843501
-42.95,3336.46973982177
-42.94,3336.48946120853
-42.93,3336.50918259529
-42.92,3336.52890398205
-42.91,3336.54862536881
-42.9,3336.56834675557
-42.89,3336.58806814233
-42.88,3336.60778952909
-42.87,3336.62751091585
-42.86,3336.64729402306
-42.85,3336.66709584617
-42.84,3336.68689766927
-42.83,3336.70669949237
-42.82,3336.72650131547
-42.81,3336.74630313858
-42.8,3336.76610496168
-42.79,3336.78590678478
-42.78,3336.80570860789
-42.77,3336.82552508064
-42.76,3336.84540760643
-42.75,3336.86529013222
-42.74,3336.88517265801
-42.73,3336.9050551838
-42.72,3336.92493770959
-42.71,3336.94482023538
-42.7,3336.96470276118
-42.69,3336.98458528697
-42.68,3337.00446781276
-42.67,3337.02439857472
-42.66,3337.04436207013
-42.65,3337.06432556554
-42.64,3337.08428906095
-42.63,3337.10425255636
-42.62,3337.12421605176
-42.61,3337.14417954717
-42.6,3337.16414304258
-42.59,3337.18410653799
-42.58,3337.20407084068
-42.57,3337.22411557322
-42.56,3337.24416030576
-42.55,3337.2642050383
-42.54,3337.28424977083
-42.53,3337.30429450337
-42.52,3337.32433923591
-42.51,3337.34438396844
-42.5,3337.36442870098
-42.49,3337.38447343352
-42.48,3337.40455273593
-42.47,3337.42467897369
-42.46,3337.44480521145
-42.45,3337.46493144921
-42.44,3337.48505768697
-42.43,3337.50518392473
-42.42,3337.52531016249
-42.41,3337.54543640025
-42.4,3337.56556263802
-42.39,3337.58568887578
-42.38,3337.60588366858
-42.37,3337.62609168025
-42.36,3337.64629969191
-42.35,3337.66650770357
-42.34,3337.68671571523
-42.33,3337.7069237269
-42.32,3337.72713173856
-42.31,3337.74733975022
-42.3,3337.76754776188
-42.29,3337.78777649391
-42.28,3337.80806654873
-42.27,3337.82835660356
-42.26,3337.84864665838
-42.25,3337.86893671321
-42.24,3337.88922676803
-42.23,3337.90951682286
-42.22,3337.92980687768
-42.21,3337.95009693251
-42.2,3337.97038698733
-42.19,3337.99073192518
-42.18,3338.01110429301
-42.17,3338.03147666084
-42.16,3338.05184902867
-42.15,3338.07222139651
-42.14,3338.09259376434
-42.13,3338.11296613217
-42.12,3338.1333385
-42.11,3338.15371086783
-42.1,3338.17408992209
-42.09,3338.19454487335
-42.08,3338.21499982462
-42.07,3338.23545477588
-42.06,3338.25590972714
-42.05,3338.27636467841
-42.04,3338.29681962967
-42.03,3338.31727458094
-42.02,3338.3377295322
-42.01,3338.35818448346
-42,3338.37868046187
