"Time","Left.Amygdala"
30.99,813.009917025958
31,812.980888905914
31.01,812.951860785869
31.02,812.922832665825
31.03,812.893804545781
31.04,812.864774610256
31.05,812.835731345799
31.06,812.806688081341
31.07,812.777644816884
31.08,812.748601552426
31.09,812.719558287969
31.1,812.690515023511
31.11,812.661471759053
31.12,812.632428494596
31.13,812.603385230138
31.14,812.574333844758
31.15,812.545275374957
31.16,812.516216905156
31.17,812.487158435355
31.18,812.458099965555
31.19,812.429041495754
31.2,812.399983025953
31.21,812.370924556152
31.22,812.341866086352
31.23,812.312807616551
31.24,812.283734669826
31.25,812.254660933665
31.26,812.225587197503
31.27,812.196513461342
31.28,812.167439725181
31.29,812.138365989019
31.3,812.109292252858
31.31,812.080218516697
31.32,812.051144780536
31.33,812.022065488247
31.34,811.99297642462
31.35,811.963887360994
31.36,811.934798297367
31.37,811.90570923374
31.38,811.876620170113
31.39,811.847531106486
31.4,811.818442042859
31.41,811.789352979232
31.42,811.760263915605
31.43,811.731162899599
31.44,811.702058447313
31.45,811.672953995027
31.46,811.643849542741
31.47,811.614745090455
31.48,811.585640638169
31.49,811.556536185883
31.5,811.527431733597
31.51,811.498327281311
31.52,811.469219879537
31.53,811.44009997731
31.54,811.410980075084
31.55,811.381860172857
31.56,811.35274027063
31.57,811.323620368403
31.58,811.294500466176
31.59,811.26538056395
31.6,811.236260661723
31.61,811.207140759496
31.62,811.178011471192
31.63,811.148876057653
31.64,811.119740644115
31.65,811.090605230577
31.66,811.061469817038
31.67,811.0323344035
31.68,811.003198989961
31.69,810.974063576423
31.7,810.944928162884
31.71,810.91579244852
31.72,810.88664146221
31.73,810.857490475899
31.74,810.828339489589
31.75,810.799188503279
31.76,810.770037516969
31.77,810.740886530659
31.78,810.711735544348
31.79,810.682584558038
31.8,810.653433571728
31.81,810.624275807579
31.82,810.595109186947
31.83,810.565942566315
31.84,810.536775945683
31.85,810.507609325051
31.86,810.47844270442
31.87,810.449276083788
31.88,810.420109463156
31.89,810.390942842524
31.9,810.361776221892
31.91,810.332596295343
31.92,810.30341397875
31.93,810.274231662156
31.94,810.245049345563
31.95,810.21586702897
31.96,810.186684712377
31.97,810.157502395783
31.98,810.12832007919
31.99,810.099137762597
32,810.069951318522
32.01,810.040753244237
32.02,810.011555169952
32.03,809.982357095667
32.04,809.953159021381
32.05,809.923960947096
32.06,809.894762872811
32.07,809.865564798526
32.08,809.836366724241
32.09,809.807168649956
32.1,809.777959879464
32.11,809.748745985666
32.12,809.719532091868
32.13,809.690318198069
32.14,809.661104304271
32.15,809.631890410473
32.16,809.602676516674
32.17,809.573462622876
32.18,809.544248729078
32.19,809.515033400461
32.2,809.485803625237
32.21,809.456573850013
32.22,809.42734407479
32.23,809.398114299566
32.24,809.368884524342
32.25,809.339654749118
32.26,809.310424973894
32.27,809.28119519867
