"Time","Left.Inf.Lat.Vent"
-22.51,1400.11801670058
-22.5,1400.1950740173
-22.49,1400.27213133402
-22.48,1400.34918865075
-22.47,1400.42624596747
-22.46,1400.50330328419
-22.45,1400.58036060091
-22.44,1400.65754611619
-22.43,1400.73473251904
-22.42,1400.81191892188
-22.41,1400.88910532473
-22.4,1400.96629172758
-22.39,1401.04347813042
-22.38,1401.12066453327
-22.37,1401.19785093612
-22.36,1401.27503733896
-22.35,1401.35227635455
-22.34,1401.42959192233
-22.33,1401.50690749012
-22.32,1401.5842230579
-22.31,1401.66153862568
-22.3,1401.73885419346
-22.29,1401.81616976124
-22.28,1401.89348532903
-22.27,1401.97080089681
-22.26,1402.04811646459
-22.25,1402.12553821044
-22.24,1402.20298302164
-22.23,1402.28042783284
-22.22,1402.35787264404
-22.21,1402.43531745524
-22.2,1402.51276226644
-22.19,1402.59020707765
-22.18,1402.66765188885
-22.17,1402.74509670005
-22.16,1402.82257199767
-22.15,1402.90014613045
-22.14,1402.97772026322
-22.13,1403.055294396
-22.12,1403.13286852877
-22.11,1403.21044266155
-22.1,1403.28801679432
-22.09,1403.36559092709
-22.08,1403.44316505987
-22.07,1403.52073919264
-22.06,1403.59839742815
-22.05,1403.67610096032
-22.04,1403.7538044925
-22.03,1403.83150802467
-22.02,1403.90921155684
-22.01,1403.98691508901
-22,1404.06461862118
-21.99,1404.14232215336
-21.98,1404.22002568553
-21.97,1404.29773752397
-21.96,1404.37557053303
-21.95,1404.4534035421
-21.94,1404.53123655116
-21.93,1404.60906956023
-21.92,1404.68690256929
-21.91,1404.76473557835
-21.9,1404.84256858742
-21.89,1404.92040159648
-21.88,1404.99823460555
-21.87,1405.07612958785
-21.86,1405.15409215097
-21.85,1405.23205471409
-21.84,1405.31001727721
-21.83,1405.38797984033
-21.82,1405.46594240344
-21.81,1405.54390496656
-21.8,1405.62186752968
-21.79,1405.6998300928
-21.78,1405.77779265592
-21.77,1405.85587092287
-21.76,1405.93396311688
-21.75,1406.01205531088
-21.74,1406.09014750488
-21.73,1406.16823969889
-21.72,1406.24633189289
-21.71,1406.32442408689
-21.7,1406.40251628089
-21.69,1406.4806084749
-21.68,1406.55874045916
-21.67,1406.63696236055
-21.66,1406.71518426193
-21.65,1406.79340616332
-21.64,1406.8716280647
-21.63,1406.94984996608
-21.62,1407.02807186747
-21.61,1407.10629376885
-21.6,1407.18451567023
-21.59,1407.26273757162
-21.58,1407.34105304371
-21.57,1407.41940472863
-21.56,1407.49775641356
-21.55,1407.57610809849
-21.54,1407.65445978341
-21.53,1407.73281146834
-21.52,1407.81116315327
-21.51,1407.88951483819
-21.5,1407.96786652312
-21.49,1408.04623576254
-21.48,1408.12471730683
-21.47,1408.20319885113
-21.46,1408.28168039542
