"Time","Right.Cerebellum.White.Matter"
-43.06,15887.8679207181
-43.05,15888.0239549589
-43.04,15888.1799910636
-43.03,15888.3360271683
-43.02,15888.4920632731
-43.01,15888.6480993778
-43,15888.8041354825
-42.99,15888.9601715873
-42.98,15889.116207692
-42.97,15889.2722437967
-42.96,15889.4282909666
-42.95,15889.5843584073
-42.94,15889.7404258479
-42.93,15889.8964932886
-42.92,15890.0525607292
-42.91,15890.2086281698
-42.9,15890.3646956105
-42.89,15890.5207630511
-42.88,15890.6768304917
-42.87,15890.8328979324
-42.86,15890.9889900509
-42.85,15891.1450896526
-42.84,15891.3011892542
-42.83,15891.4572888559
-42.82,15891.6133884576
-42.81,15891.7694880593
-42.8,15891.925587661
-42.79,15892.0816872627
-42.78,15892.2377868644
-42.77,15892.393892454
-42.76,15892.5500250424
-42.75,15892.7061576308
-42.74,15892.8622902192
-42.73,15893.0184228076
-42.72,15893.174555396
-42.71,15893.3306879844
-42.7,15893.4868205728
-42.69,15893.6429531612
-42.68,15893.7990857496
-42.67,15893.9552384814
-42.66,15894.1114048827
-42.65,15894.267571284
-42.64,15894.4237376852
-42.63,15894.5799040865
-42.62,15894.7360704878
-42.61,15894.8922368891
-42.6,15895.0484032903
-42.59,15895.2045696916
-42.58,15895.3607364371
-42.57,15895.516937478
-42.56,15895.6731385188
-42.55,15895.8293395597
-42.54,15895.9855406005
-42.53,15896.1417416414
-42.52,15896.2979426823
-42.51,15896.4541437231
-42.5,15896.610344764
-42.49,15896.7665458048
-42.48,15896.9227618887
-42.47,15897.0789983964
-42.46,15897.2352349041
-42.45,15897.3914714118
-42.44,15897.5477079195
-42.43,15897.7039444272
-42.42,15897.8601809348
-42.41,15898.0164174425
-42.4,15898.1726539502
-42.39,15898.3288904579
-42.38,15898.4851573932
-42.37,15898.6414301955
-42.36,15898.7977029979
-42.35,15898.9539758002
-42.34,15899.1102486026
-42.33,15899.2665214049
-42.32,15899.4227942072
-42.31,15899.5790670096
-42.3,15899.7353398119
-42.29,15899.8916219898
-42.28,15900.0479319152
-42.27,15900.2042418406
-42.26,15900.360551766
-42.25,15900.5168616913
-42.24,15900.6731716167
-42.23,15900.8294815421
-42.22,15900.9857914675
-42.21,15901.1421013929
-42.2,15901.2984113182
-42.19,15901.4547465485
-42.18,15901.6110944259
-42.17,15901.7674423032
-42.16,15901.9237901806
-42.15,15902.080138058
-42.14,15902.2364859354
-42.13,15902.3928338128
-42.12,15902.5491816902
-42.11,15902.7055295675
-42.1,15902.8618805849
-42.09,15903.0182672439
-42.08,15903.1746539028
-42.07,15903.3310405618
-42.06,15903.4874272207
-42.05,15903.6438138797
-42.04,15903.8002005387
-42.03,15903.9565871976
-42.02,15904.1129738566
-42.01,15904.2693605156
-42,15904.4257667891
-41.99,15904.5821930598
-41.98,15904.7386193306
-41.97,15904.8950456013
-41.96,15905.051471872
-41.95,15905.2078981427
