"Time","Left.Cortex"
-23.2,252961.035358223
-23.19,252959.174519753
-23.18,252957.313681283
-23.17,252955.452842813
-23.16,252953.592004343
-23.15,252951.731165873
-23.14,252949.870327403
-23.13,252948.009488933
-23.12,252946.148749392
-23.11,252944.288966905
-23.1,252942.429184419
-23.09,252940.569401932
-23.08,252938.709619446
-23.07,252936.849836959
-23.06,252934.990054473
-23.05,252933.130271987
-23.04,252931.2704895
-23.03,252929.410707014
-23.02,252927.551456471
-23.01,252925.692721345
-23,252923.83398622
-22.99,252921.975251094
-22.98,252920.116515968
-22.97,252918.257780842
-22.96,252916.399045716
-22.95,252914.54031059
-22.94,252912.681575464
-22.93,252910.822840339
-22.92,252908.965063041
-22.91,252907.107366667
-22.9,252905.249670293
-22.89,252903.391973918
-22.88,252901.534277544
-22.87,252899.67658117
-22.86,252897.818884795
-22.85,252895.961188421
-22.84,252894.103492047
-22.83,252892.246142116
-22.82,252890.389475898
-22.81,252888.53280968
-22.8,252886.676143462
-22.79,252884.819477244
-22.78,252882.962811026
-22.77,252881.106144808
-22.76,252879.249478589
-22.75,252877.392812371
-22.74,252875.536146153
-22.73,252873.680246635
-22.72,252871.824601991
-22.71,252869.968957348
-22.7,252868.113312704
-22.69,252866.257668061
-22.68,252864.402023417
-22.67,252862.546378774
-22.66,252860.690734131
-22.65,252858.835089487
-22.64,252856.979611699
-22.63,252855.124980062
-22.62,252853.270348425
-22.61,252851.415716788
-22.6,252849.561085152
-22.59,252847.706453515
-22.58,252845.851821878
-22.57,252843.997190241
-22.56,252842.142558604
-22.55,252840.287926967
-22.54,252838.433876826
-22.53,252836.580249641
-22.52,252834.726622456
-22.51,252832.872995271
-22.5,252831.019368086
-22.49,252829.165740901
-22.48,252827.312113716
-22.47,252825.458486531
-22.46,252823.604859346
-22.45,252821.751232161
-22.44,252819.898594039
-22.43,252818.045962764
-22.42,252816.19333149
-22.41,252814.340700215
-22.4,252812.488068941
-22.39,252810.635437666
-22.38,252808.782806392
-22.37,252806.930175117
-22.36,252805.077543843
-22.35,252803.225314759
-22.34,252801.373670866
-22.33,252799.522026974
-22.32,252797.670383082
-22.31,252795.81873919
-22.3,252793.967095297
-22.29,252792.115451405
-22.28,252790.263807513
-22.27,252788.412163621
-22.26,252786.560519729
-22.25,252784.70968001
-22.24,252782.859014985
-22.23,252781.00834996
-22.22,252779.157684935
-22.21,252777.30701991
-22.2,252775.456354885
-22.19,252773.60568986
-22.18,252771.755024835
-22.17,252769.90435981
-22.16,252768.05392354
-22.15,252766.20422888
-22.14,252764.35453422
-22.13,252762.50483956
-22.12,252760.6551449
-22.11,252758.80545024
-22.1,252756.95575558
-22.09,252755.10606092
-22.08,252753.25636626
-22.07,252751.4066716
-22.06,252749.557602108
-22.05,252747.708869324
-22.04,252745.860136539
-22.03,252744.011403755
-22.02,252742.162670971
-22.01,252740.313938186
-22,252738.465205402
-21.99,252736.616472618
-21.98,252734.767739833
-21.97,252732.919068212
-21.96,252731.071288827
-21.95,252729.223509441
-21.94,252727.375730056
-21.93,252725.527950671
-21.92,252723.680171286
-21.91,252721.8323919
-21.9,252719.984612515
-21.89,252718.13683313
-21.88,252716.289053744
-21.87,252714.441726377
-21.86,252712.594891926
-21.85,252710.748057476
-21.84,252708.901223026
-21.83,252707.054388576
-21.82,252705.207554125
-21.81,252703.360719675
-21.8,252701.513885225
-21.79,252699.667050775
-21.78,252697.820216325
-21.77,252695.974217746
-21.76,252694.128319779
-21.75,252692.282421812
-21.74,252690.436523846
-21.73,252688.590625879
-21.72,252686.744727912
-21.71,252684.898829945
-21.7,252683.052931979
-21.69,252681.207034012
-21.68,252679.361420741
-21.67,252677.516450819
-21.66,252675.671480896
-21.65,252673.826510974
-21.64,252671.981541051
-21.63,252670.136571129
-21.62,252668.291601207
-21.61,252666.446631284
-21.6,252664.601661362
-21.59,252662.75669144
-21.58,252660.912384539
-21.57,252659.068334234
-21.56,252657.224283929
-21.55,252655.380233624
-21.54,252653.536183319
-21.53,252651.692133014
-21.52,252649.848082709
-21.51,252648.004032404
-21.5,252646.159982099
