"Time","CSF"
-14.04,2344.49368880527
-14.03,2344.51157001481
-14.02,2344.52945122435
-14.01,2344.54733044017
-14,2344.56520715147
-13.99,2344.58308386277
-13.98,2344.60096057407
-13.97,2344.61883728537
-13.96,2344.63671399667
-13.95,2344.65459070797
-13.94,2344.67246741927
-13.93,2344.69034413057
-13.92,2344.70822084187
-13.91,2344.72609376959
-13.9,2344.74396606818
-13.89,2344.76183836677
-13.88,2344.77971066536
-13.87,2344.79758296395
-13.86,2344.81545526254
-13.85,2344.83332756113
-13.84,2344.85119985972
-13.83,2344.86907215831
-13.82,2344.88694328148
-13.81,2344.90481125282
-13.8,2344.92267922417
-13.79,2344.94054719552
-13.78,2344.95841516686
-13.77,2344.97628313821
-13.76,2344.99415110956
-13.75,2345.0120190809
-13.74,2345.02988705225
-13.73,2345.04775502359
-13.72,2345.06562008572
-13.71,2345.08348381523
-13.7,2345.10134754474
-13.69,2345.11921127424
-13.68,2345.13707500375
-13.67,2345.15493873326
-13.66,2345.17280246277
-13.65,2345.19066619227
-13.64,2345.20852992178
-13.63,2345.22639323545
-13.62,2345.24425280847
-13.61,2345.26211238148
-13.6,2345.27997195449
-13.59,2345.2978315275
-13.58,2345.31569110052
-13.57,2345.33355067353
-13.56,2345.35141024654
-13.55,2345.36926981955
-13.54,2345.38712939256
-13.53,2345.40498687196
-13.52,2345.42284237376
-13.51,2345.44069787556
-13.5,2345.45855337737
-13.49,2345.47640887917
-13.48,2345.49426438097
-13.47,2345.51211988277
-13.46,2345.52997538458
-13.45,2345.54783088638
-13.44,2345.56568638818
-13.43,2345.58353818918
-13.42,2345.601389705
-13.41,2345.61924122082
-13.4,2345.63709273664
-13.39,2345.65494425246
-13.38,2345.67279576828
-13.37,2345.6906472841
-13.36,2345.70849879992
-13.35,2345.72635031574
-13.34,2345.7442004949
-13.33,2345.76204810991
-13.32,2345.77989572492
-13.31,2345.79774333993
-13.3,2345.81559095493
-13.29,2345.83343856994
-13.28,2345.85128618495
-13.27,2345.86913379996
-13.26,2345.88698141497
-13.25,2345.90482902998
-13.24,2345.92267375701
-13.23,2345.94051755632
-13.22,2345.95836135563
-13.21,2345.97620515495
-13.2,2345.99404895426
-13.19,2346.01189275357
-13.18,2346.02973655288
-13.17,2346.04758035219
-13.16,2346.0654241515
-13.15,2346.08326731261
-13.14,2346.10110738128
-13.13,2346.11894744996
-13.12,2346.13678751863
-13.11,2346.15462758731
-13.1,2346.17246765599
-13.09,2346.19030772466
-13.08,2346.20814779334
-13.07,2346.22598786201
-13.06,2346.24382793069
-13.05,2346.26166586566
-13.04,2346.27950228871
-13.03,2346.29733871175
-13.02,2346.3151751348
-13.01,2346.33301155785
-13,2346.3508479809
-12.99,2346.36868440395
-12.98,2346.386520827
-12.97,2346.40435725004
-12.96,2346.42219367309
-12.95,2346.44002653731
-12.94,2346.45785939968
-12.93,2346.47569226206
-12.92,2346.49352512444
-12.91,2346.51135798681
-12.9,2346.52919084919
-12.89,2346.54702371157
-12.88,2346.56485657394
-12.87,2346.58268943632
-12.86,2346.60052086081
-12.85,2346.61835024742
-12.84,2346.63617963403
-12.83,2346.65400902064
-12.82,2346.67183840725
-12.81,2346.68966779386
-12.8,2346.70749718047
-12.79,2346.72532656708
-12.78,2346.74315595369
-12.77,2346.7609853403
-12.76,2346.77881191959
-12.75,2346.79663791529
-12.74,2346.81446391099
-12.73,2346.83228990669
-12.72,2346.85011590239
-12.71,2346.86794189809
-12.7,2346.88576789379
-12.69,2346.90359388949
-12.68,2346.92141988519
-12.67,2346.93924508048
-12.66,2346.95706777008
-12.65,2346.97489045968
-12.64,2346.99271314928
-12.63,2347.01053583888
-12.62,2347.02835852847
-12.61,2347.04618121807
-12.6,2347.06400390767
-12.59,2347.08182659727
-12.58,2347.09964928687
-12.57,2347.11746986228
-12.56,2347.13528933054
-12.55,2347.15310879879
-12.54,2347.17092826705
-12.53,2347.18874773531
-12.52,2347.20656720357
-12.51,2347.22438667182
-12.5,2347.24220614008
-12.49,2347.26002560834
-12.48,2347.27784485542
-12.47,2347.29566118706
-12.46,2347.31347751869
-12.45,2347.33129385032
-12.44,2347.34911018195
-12.43,2347.36692651358
-12.42,2347.38474284521
-12.41,2347.40255917685
-12.4,2347.42037550848
-12.39,2347.43819184011
-12.38,2347.4560066924
-12.37,2347.47381997208
-12.36,2347.49163325176
-12.35,2347.50944653143
-12.34,2347.52725981111
-12.33,2347.54507309079
-12.32,2347.56288637046
-12.31,2347.58069965014
-12.3,2347.59851292982
-12.29,2347.61632620949
-12.28,2347.63413682177
-12.27,2347.65194713412
-12.26,2347.66975744647
-12.25,2347.68756775882
-12.24,2347.70537807117
-12.23,2347.72318838352
-12.22,2347.74099869587
-12.21,2347.75880900822
-12.2,2347.77661932056
-12.19,2347.79442873024
-12.18,2347.81223615985
-12.17,2347.83004358946
-12.16,2347.84785101907
-12.15,2347.86565844867
-12.14,2347.88346587828
-12.13,2347.90127330789
-12.12,2347.91908073749
-12.11,2347.9368881671
-12.1,2347.95469559671
-12.09,2347.97250099109
-12.08,2347.9903056225
-12.07,2348.00811025391
-12.06,2348.02591488532
-12.05,2348.04371951673
-12.04,2348.06152414814
-12.03,2348.07932877955
-12.02,2348.09713341095
-12.01,2348.11493804236
-12,2348.13274228968
-11.99,2348.15054420739
-11.98,2348.16834612511
-11.97,2348.18614804283
-11.96,2348.20394996054
-11.95,2348.22175187826
-11.94,2348.23955379598
-11.93,2348.25735571369
-11.92,2348.27515763141
-11.91,2348.29295954912
-11.9,2348.31076000566
-11.89,2348.32855929415
-11.88,2348.34635858264
-11.87,2348.36415787113
-11.86,2348.38195715962
-11.85,2348.39975644811
-11.84,2348.4175557366
