"Time","Right.Amygdala"
4.89,926.424475887929
4.9,926.40182757509
4.91,926.37917926225
4.92,926.356530949411
4.93,926.333882636572
4.94,926.311234323732
4.95,926.288586010893
4.96,926.265937698053
4.97,926.243293594452
4.98,926.2206545136
4.99,926.198015432748
5,926.175376351896
5.01,926.152737271044
5.02,926.130098190192
5.03,926.10745910934
5.04,926.084820028488
5.05,926.062180947636
5.06,926.039541866783
5.07,926.016910774963
5.08,925.994280875362
5.09,925.971650975761
5.1,925.94902107616
5.11,925.926391176559
5.12,925.903761276958
5.13,925.881131377357
5.14,925.858501477756
5.15,925.835871578155
5.16,925.81324427485
5.17,925.790623505822
5.18,925.768002736795
5.19,925.745381967767
5.2,925.722761198739
5.21,925.700140429712
5.22,925.677519660684
5.23,925.654898891657
5.24,925.632278122629
5.25,925.609657353601
5.26,925.587042927445
5.27,925.564431238371
5.28,925.541819549298
5.29,925.519207860224
5.3,925.496596171151
5.31,925.473984482078
5.32,925.451372793004
5.33,925.428761103931
5.34,925.406149414858
5.35,925.383538743968
5.36,925.360936084287
5.37,925.338333424607
5.38,925.315730764926
5.39,925.293128105246
5.4,925.270525445565
5.41,925.247922785885
5.42,925.225320126205
5.43,925.202717466524
5.44,925.180114806844
5.45,925.157516878759
5.46,925.134923197967
5.47,925.112329517176
5.48,925.089735836385
5.49,925.067142155594
5.5,925.044548474803
5.51,925.021954794012
5.52,924.999361113221
5.53,924.97676743243
5.54,924.954173751639
5.55,924.931588474071
5.56,924.909003721723
5.57,924.886418969375
5.58,924.863834217027
5.59,924.841249464679
5.6,924.818664712331
5.61,924.796079959983
5.62,924.773495207635
5.63,924.750910455287
5.64,924.728328858024
5.65,924.70575298373
5.66,924.683177109435
5.67,924.660601235141
5.68,924.638025360847
5.69,924.615449486553
5.7,924.592873612259
5.71,924.570297737965
5.72,924.547721863671
5.73,924.525145989377
5.74,924.502576908772
5.75,924.480009862199
5.76,924.457442815626
5.77,924.434875769053
5.78,924.41230872248
5.79,924.389741675907
5.8,924.367174629334
5.81,924.344607582762
5.82,924.322040536189
5.83,924.299475102836
5.84,924.276916833708
5.85,924.25435856458
5.86,924.231800295452
5.87,924.209242026324
5.88,924.186683757196
