"Time","Brain.Stem"
25.55,18904.1310232311
25.56,18904.1561768358
25.57,18904.1813304406
25.58,18904.2066169171
25.59,18904.2320309751
25.6,18904.2574450332
25.61,18904.2828590913
25.62,18904.3082731494
25.63,18904.3336872074
25.64,18904.3591012655
25.65,18904.3845153236
25.66,18904.4099293817
25.67,18904.4353434398
25.68,18904.4610014214
25.69,18904.4866793627
25.7,18904.5123573041
25.71,18904.5380352455
25.72,18904.5637131869
25.73,18904.5893911282
25.74,18904.6150690696
25.75,18904.640747011
25.76,18904.6664249524
25.77,18904.6921934144
25.78,18904.7181387198
25.79,18904.7440840252
25.8,18904.7700293305
25.81,18904.7959746359
25.82,18904.8219199413
25.83,18904.8478652467
25.84,18904.8738105521
25.85,18904.8997558575
25.86,18904.9257011629
25.87,18904.9518503916
25.88,18904.9780665933
25.89,18905.004282795
25.9,18905.0304989967
25.91,18905.0567151984
25.92,18905.0829314001
25.93,18905.1091476018
25.94,18905.1353638035
25.95,18905.1615800052
25.96,18905.1878420393
25.97,18905.2143327221
25.98,18905.2408234048
25.99,18905.2673140876
26,18905.2938047703
26.01,18905.3202954531
26.02,18905.3467861358
26.03,18905.3732768186
26.04,18905.3997675014
26.05,18905.4262581841
26.06,18905.4529105052
26.07,18905.479679307
26.08,18905.5064481089
26.09,18905.5332169107
26.1,18905.5599857125
26.11,18905.5867545143
26.12,18905.6135233161
26.13,18905.640292118
26.14,18905.6670609198
26.15,18905.6938297216
26.16,18905.7208790354
26.17,18905.7479296485
26.18,18905.7749802616
26.19,18905.8020308746
26.2,18905.8290814877
26.21,18905.8561321008
26.22,18905.8831827138
26.23,18905.9102333269
26.24,18905.93728394
26.25,18905.9644515164
26.26,18905.991787688
26.27,18906.0191238595
26.28,18906.0464600311
26.29,18906.0737962026
26.3,18906.1011323741
26.31,18906.1284685457
26.32,18906.1558047172
26.33,18906.1831408888
26.34,18906.2104770603
26.35,18906.2380516082
26.36,18906.2656771414
26.37,18906.2933026746
26.38,18906.3209282078
26.39,18906.348553741
26.4,18906.3761792742
26.41,18906.4038048073
26.42,18906.4314303405
26.43,18906.4590558737
26.44,18906.4867511956
26.45,18906.5146699505
26.46,18906.5425887053
26.47,18906.5705074602
26.48,18906.5984262151
26.49,18906.6263449699
26.5,18906.6542637248
26.51,18906.6821824797
26.52,18906.7101012346
26.53,18906.7380199894
26.54,18906.7661325423
26.55,18906.7943484367
26.56,18906.8225643311
26.57,18906.8507802255
26.58,18906.8789961199
26.59,18906.9072120143
26.6,18906.9354279087
26.61,18906.9636438031
26.62,18906.9918596975
26.63,18907.0200955914
26.64,18907.048612602
26.65,18907.0771296125
26.66,18907.105646623
26.67,18907.1341636335
26.68,18907.1626806441
26.69,18907.1911976546
26.7,18907.2197146651
26.71,18907.2482316757
26.72,18907.2767486862
26.73,18907.3054123602
26.74,18907.3342345231
26.75,18907.3630566861
26.76,18907.3918788491
26.77,18907.4207010121
26.78,18907.4495231751
26.79,18907.478345338
26.8,18907.507167501
26.81,18907.535989664
26.82,18907.564811827
26.83,18907.5939107154
26.84,18907.6230421279
26.85,18907.6521735403
26.86,18907.6813049528
26.87,18907.7104363653
26.88,18907.7395677777
26.89,18907.7686991902
26.9,18907.7978306026
26.91,18907.8269620151
26.92,18907.8561902816
26.93,18907.8856351023
26.94,18907.915079923
26.95,18907.9445247437
26.96,18907.9739695644
26.97,18908.003414385
26.98,18908.0328592057
26.99,18908.0623040264
27,18908.0917488471
27.01,18908.1211936678
27.02,18908.1508682111
27.03,18908.1806306615
27.04,18908.2103931119
27.05,18908.2401555623
27.06,18908.2699180127
27.07,18908.2996804631
27.08,18908.3294429134
27.09,18908.3592053638
27.1,18908.3889678142
27.11,18908.4187745106
27.12,18908.4488588759
27.13,18908.4789432412
27.14,18908.5090276066
27.15,18908.5391119719
27.16,18908.5691963373
27.17,18908.5992807026
27.18,18908.6293650679
27.19,18908.6594494333
27.2,18908.6895337986
27.21,18908.7197981486
27.22,18908.750208779
27.23,18908.7806194094
27.24,18908.8110300397
27.25,18908.8414406701
27.26,18908.8718513005
27.27,18908.9022619308
27.28,18908.9326725612
27.29,18908.9630831916
27.3,18908.9934938219
27.31,18909.024223843
27.32,18909.0549651544
27.33,18909.0857064658
27.34,18909.1164477772
27.35,18909.1471890886
27.36,18909.1779304
27.37,18909.2086717114
27.38,18909.2394130227
27.39,18909.2701543341
27.4,18909.301023029
27.41,18909.3320995044
27.42,18909.3631759798
27.43,18909.3942524552
27.44,18909.4253289306
27.45,18909.456405406
27.46,18909.4874818814
27.47,18909.5185583568
27.48,18909.5496348322
27.49,18909.5807113076
27.5,18909.6120576081
27.51,18909.6434737986
27.52,18909.6748899891
27.53,18909.7063061796
27.54,18909.7377223701
27.55,18909.7691385607
27.56,18909.8005547512
27.57,18909.8319709417
27.58,18909.8633871322
27.59,18909.8948751079
27.6,18909.9266356339
27.61,18909.9583961599
27.62,18909.9901566859
27.63,18910.0219172119
27.64,18910.0536777379
27.65,18910.0854382639
27.66,18910.1171987899
27.67,18910.1489593159
27.68,18910.1807198419
27.69,18910.2126976996
27.7,18910.2448072518
27.71,18910.2769168041
27.72,18910.3090263564
27.73,18910.3411359086
27.74,18910.3732454609
27.75,18910.4053550132
27.76,18910.4374645654
27.77,18910.4695741177
27.78,18910.5016967197
27.79,18910.5341600606
27.8,18910.5666234015
27.81,18910.5990867424
27.82,18910.6315500832
27.83,18910.6640134241
27.84,18910.696476765
27.85,18910.7289401059
27.86,18910.7614034468
27.87,18910.7938667877
27.88,18910.8264919007
27.89,18910.8593138653
27.9,18910.89213583
27.91,18910.9249577946
27.92,18910.9577797593
27.93,18910.990601724
27.94,18911.0234236886
27.95,18911.0562456533
27.96,18911.0890676179
27.97,18911.1218895826
27.98,18911.1550261112
27.99,18911.1882116088
28,18911.2213971064
28.01,18911.254582604
28.02,18911.2877681015
28.03,18911.3209535991
28.04,18911.3541390967
28.05,18911.3873245943
28.06,18911.4205100919
28.07,18911.453798591
28.08,18911.4873526059
28.09,18911.5209066209
28.1,18911.5544606358
28.11,18911.5880146507
28.12,18911.6215686656
28.13,18911.6551226805
28.14,18911.6886766954
28.15,18911.7222307103
28.16,18911.7557847252
28.17,18911.7895978945
28.18,18911.8235254876
28.19,18911.8574530807
28.2,18911.8913806739
28.21,18911.925308267
28.22,18911.9592358602
28.23,18911.9931634533
28.24,18912.0270910464
28.25,18912.0610186396
28.26,18912.0949871016
28.27,18912.1292934116
28.28,18912.1635997217
28.29,18912.1979060318
28.3,18912.2322123419
28.31,18912.266518652
28.32,18912.300824962
28.33,18912.3351312721
28.34,18912.3694375822
28.35,18912.4037438923
28.36,18912.4382506622
28.37,18912.472940907
28.38,18912.5076311519
28.39,18912.5423213967
28.4,18912.5770116415
28.41,18912.6117018863
28.42,18912.6463921312
28.43,18912.681082376
28.44,18912.7157726208
28.45,18912.7504628657
28.46,18912.7855175592
28.47,18912.820597037
28.48,18912.8556765148
28.49,18912.8907559927
28.5,18912.9258354705
28.51,18912.9609149483
28.52,18912.9959944261
28.53,18913.031073904
28.54,18913.0661533818
28.55,18913.1013711837
28.56,18913.1368452746
28.57,18913.1723193655
28.58,18913.2077934563
28.59,18913.2432675472
28.6,18913.2787416381
28.61,18913.314215729
28.62,18913.3496898199
28.63,18913.3851639107
28.64,18913.4206380016
28.65,18913.4564180455
28.66,18913.4922922126
28.67,18913.5281663798
28.68,18913.5640405469
28.69,18913.5999147141
28.7,18913.6357888812
28.71,18913.6716630484
28.72,18913.7075372155
28.73,18913.7434113827
28.74,18913.7793581331
28.75,18913.8156379244
28.76,18913.8519177156
28.77,18913.8881975069
28.78,18913.9244772982
28.79,18913.9607570894
28.8,18913.9970368807
28.81,18914.0333166719
28.82,18914.0695964632
28.83,18914.1058762544
28.84,18914.1423999824
28.85,18914.1790910316
28.86,18914.2157820808
28.87,18914.25247313
28.88,18914.2891641792
28.89,18914.3258552284
28.9,18914.3625462775
28.91,18914.3992373267
28.92,18914.4359283759
28.93,18914.4726224914
28.94,18914.5097305198
28.95,18914.5468385482
28.96,18914.5839465767
28.97,18914.6210546051
28.98,18914.6581626335
28.99,18914.695270662
29,18914.7323786904
29.01,18914.7694867188
29.02,18914.8065947473
29.03,18914.8438810065
29.04,18914.8814118245
29.05,18914.9189426425
29.06,18914.9564734604
29.07,18914.9940042784
29.08,18915.0315350964
29.09,18915.0690659143
29.1,18915.1065967323
29.11,18915.1441275503
29.12,18915.1816583682
29.13,18915.2195474705
29.14,18915.2575069787
29.15,18915.295466487
29.16,18915.3334259952
29.17,18915.3713855035
29.18,18915.4093450118
29.19,18915.44730452
29.2,18915.4852640283
29.21,18915.5232235365
29.22,18915.5612917027
29.23,18915.599685894
29.24,18915.6380800854
29.25,18915.6764742767
29.26,18915.714868468
29.27,18915.7532626594
29.28,18915.7916568507
29.29,18915.830051042
29.3,18915.8684452334
29.31,18915.9068394247
29.32,18915.9455263646
29.33,18915.9843613253
29.34,18916.0231962861
29.35,18916.0620312469
29.36,18916.1008662076
29.37,18916.1397011684
29.38,18916.1785361292
29.39,18916.2173710899
29.4,18916.2562060507
29.41,18916.2950760443
29.42,18916.334357956
29.43,18916.3736398678
29.44,18916.4129217795
29.45,18916.4522036913
29.46,18916.491485603
29.47,18916.5307675148
29.48,18916.5700494266
29.49,18916.6093313383
29.5,18916.6486132501
29.51,18916.6881184169
29.52,18916.727853558
29.53,18916.7675886991
29.54,18916.8073238402
29.55,18916.8470589813
29.56,18916.8867941224
29.57,18916.9265292635
29.58,18916.9662644046
29.59,18917.0059995457
29.6,18917.0457346869
29.61,18917.0858865957
29.62,18917.126081343
29.63,18917.1662760902
29.64,18917.2064708375
